                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4562,                 0.8777,                   1.07,                0.91459,                0.85372,                0.90035,                0.57543,                 1.4348,                0.75825,                  1.036,               0.006634,               0.006634,               0.006634
                     36,                 1.4483,                0.86952,                 1.0691,                0.91202,                0.85412,                0.89806,                0.57568,                 1.4579,                0.80026,                 1.0479,               0.006535,               0.006535,               0.006535
                     37,                 1.4354,                0.86158,                  1.065,                0.91269,                0.85643,                0.90122,                0.58181,                 1.4305,                0.77927,                 1.0437,               0.006436,               0.006436,               0.006436
                     38,                 1.4416,                0.86523,                  1.068,                0.92598,                0.85502,                 0.9046,                  0.582,                 1.3679,                0.71346,                 1.0214,               0.006337,               0.006337,               0.006337
                     39,                  1.431,                0.85306,                 1.0643,                  0.927,                0.86395,                0.90736,                0.58709,                 1.4336,                 0.7446,                 1.0367,               0.006238,               0.006238,               0.006238
                     40,                 1.4183,                0.84308,                 1.0602,                0.92763,                0.86123,                0.90774,                0.59038,                 1.4108,                0.75089,                 1.0318,               0.006139,               0.006139,               0.006139
                     41,                 1.4189,                0.84372,                 1.0579,                 0.9249,                0.86135,                0.90731,                0.59098,                 1.3507,                0.70109,                 1.0128,                0.00604,                0.00604,                0.00604
                     42,                 1.4069,                0.83902,                 1.0539,                0.92352,                0.86374,                0.90767,                0.59396,                 1.3973,                0.77599,                 1.0284,               0.005941,               0.005941,               0.005941
                     43,                 1.3969,                0.83174,                 1.0527,                 0.9251,                 0.8628,                0.90766,                0.59716,                 1.3648,                0.72961,                 1.0188,               0.005842,               0.005842,               0.005842
                     44,                 1.3941,                0.82733,                 1.0507,                0.92631,                0.86466,                0.90871,                0.59887,                 1.3562,                0.72531,                  1.024,               0.005743,               0.005743,               0.005743
                     45,                 1.3904,                0.82099,                  1.048,                 0.9278,                0.87082,                0.91202,                0.60429,                 1.3447,                0.71544,                  1.014,               0.005644,               0.005644,               0.005644
                     46,                 1.3758,                0.81781,                 1.0448,                0.93204,                0.86615,                0.91172,                0.60255,                 1.3586,                 0.6924,                 1.0115,               0.005545,               0.005545,               0.005545
                     47,                 1.3699,                0.80302,                 1.0383,                 0.9327,                0.86755,                0.91206,                0.60302,                 1.3353,                0.68315,                 1.0039,               0.005446,               0.005446,               0.005446
                     48,                 1.3665,                0.80108,                 1.0404,                0.93278,                0.87385,                0.91508,                0.61029,                 1.3073,                0.66543,                 1.0021,               0.005347,               0.005347,               0.005347
                     49,                 1.3571,                0.78988,                 1.0371,                0.92981,                0.87553,                0.91445,                0.61127,                 1.2838,                0.65074,                0.99826,               0.005248,               0.005248,               0.005248
                     50,                 1.3638,                0.79945,                  1.037,                0.93447,                 0.8718,                0.91542,                0.61089,                  1.315,                 0.6595,                 1.0034,               0.005149,               0.005149,               0.005149
                     51,                 1.3489,                0.78841,                 1.0359,                0.93213,                0.87525,                0.91436,                0.60973,                 1.3133,                0.65743,                  1.002,                0.00505,                0.00505,                0.00505
                     52,                  1.342,                0.78359,                 1.0348,                0.93754,                0.87376,                0.91618,                0.61412,                 1.2595,                0.64621,                0.99361,               0.004951,               0.004951,               0.004951
                     53,                 1.3321,                0.77109,                  1.026,                0.93564,                0.87971,                0.91819,                0.61764,                 1.2901,                 0.6486,                0.99593,               0.004852,               0.004852,               0.004852
                     54,                 1.3259,                0.77266,                 1.0276,                0.93535,                0.87759,                0.91844,                0.61879,                 1.3173,                0.65696,                 1.0019,               0.004753,               0.004753,               0.004753
                     55,                 1.3252,                0.77278,                 1.0259,                0.93623,                0.87819,                0.91928,                0.62103,                 1.2376,                0.63227,                0.98513,               0.004654,               0.004654,               0.004654
                     56,                 1.3094,                0.75621,                 1.0185,                0.93902,                0.87881,                0.91991,                0.62247,                 1.2344,                0.62822,                0.98407,               0.004555,               0.004555,               0.004555
                     57,                 1.3134,                0.76023,                 1.0185,                0.93734,                0.87989,                0.91849,                0.62164,                  1.228,                0.63303,                0.98222,               0.004456,               0.004456,               0.004456
                     58,                 1.2963,                 0.7424,                  1.014,                0.93776,                 0.8799,                0.91967,                0.62579,                  1.226,                0.62472,                0.98109,               0.004357,               0.004357,               0.004357
                     59,                 1.2991,                0.75052,                  1.016,                0.93776,                0.87982,                0.91946,                0.62697,                 1.2426,                 0.6269,                0.98265,               0.004258,               0.004258,               0.004258
                     60,                 1.2872,                0.73722,                 1.0118,                0.93858,                0.88064,                  0.921,                 0.6262,                 1.2755,                0.63862,                0.98817,               0.004159,               0.004159,               0.004159
                     61,                 1.2844,                0.73277,                   1.01,                0.93721,                0.88221,                0.92153,                0.62853,                 1.2928,                 0.6482,                0.99195,                0.00406,                0.00406,                0.00406
                     62,                 1.2776,                0.73494,                 1.0081,                0.93726,                0.88162,                0.92164,                  0.631,                 1.2777,                0.64838,                0.99191,               0.003961,               0.003961,               0.003961
                     63,                 1.2749,                0.73394,                 1.0083,                0.93946,                0.88258,                0.92258,                0.63233,                 1.2746,                0.64893,                0.99191,               0.003862,               0.003862,               0.003862
                     64,                 1.2602,                0.72226,                 1.0028,                0.93675,                0.88545,                0.92275,                0.63367,                 1.2644,                0.64761,                0.99102,               0.003763,               0.003763,               0.003763
                     65,                 1.2487,                0.71624,                0.99855,                0.93707,                0.88231,                0.92237,                0.63392,                 1.2644,                0.64339,                 0.9897,               0.003664,               0.003664,               0.003664
